EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	10:43:16	0	0.5000	20.106732886178154	200.67042541503906		0.0
2	10:43:32	1	0.5000	18.81625774928502	223.36099243164062		0.0
3	10:43:46	2	0.5000	18.876306969778877	212.83709716796875		0.0
4	10:44:00	3	0.5000	17.88234748840332	237.69577026367188		0.0
5	10:44:20	4	0.5000	18.137170587267196	218.53550720214844		0.0
6	10:44:35	1	0.2500	13.120725495474678	221.70277404785156		0.0
7	10:44:48	2	0.2500	12.749277755192347	234.98887634277344		0.0
8	10:45:00	3	0.2500	12.33533274786813	228.93785095214844		0.0
9	10:45:13	4	0.2500	12.268143204280308	231.0247344970703		0.0
10	10:45:25	1	0.1250	11.15457649230957	227.698974609375		0.0
11	10:45:38	2	0.1250	10.763294873918806	242.98611450195312		0.0
12	10:45:50	3	0.1250	10.703783089773996	239.67233276367188		0.0
13	10:46:03	4	0.1250	10.612560067858015	238.28236389160156		0.0
14	10:46:15	1	0.0625	10.293118504115514	237.92654418945312		0.0
15	10:46:28	2	0.0625	10.139443983350482	237.3383026123047		0.0
16	10:46:40	3	0.0625	10.08126722063337	239.68206787109375		0.0
17	10:46:53	4	0.0625	10.060760252816337	242.0474395751953		0.0
18	10:47:05	1	0.0312	10.037082712990896	237.95306396484375		0.0
19	10:47:17	2	0.0312	9.868688133784703	237.14703369140625		0.0
20	10:47:30	3	0.0312	9.851083305903844	237.65579223632812		0.0
21	10:47:43	4	0.0312	9.742726407732283	237.82470703125		0.0
22	10:47:55	1	0.0156	9.879832867213658	236.263671875		0.0
23	10:48:07	2	0.0156	9.790764386313302	237.8296661376953		0.0
24	10:48:20	3	0.0156	9.764336681365966	237.98507690429688		0.0
25	10:48:32	4	0.0156	9.67557920728411	238.1817169189453		0.0
26	10:48:46	1	0.0078	9.82747265951974	239.10348510742188		0.0
27	10:48:59	2	0.0078	9.743825612749372	238.05081176757812		0.0
28	10:49:12	3	0.0078	9.810087026868548	238.67982482910156		0.0
29	10:49:24	4	0.0078	9.661421585083009	238.4808807373047		0.0
30	10:49:37	1	0.0039	9.791734095982143	239.52468872070312		0.0
31	10:49:50	2	0.0039	9.723894405364991	239.93096923828125		0.0
