EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	12:29:13	0	0.5000	45.53763943910599	22.89669418334961		0.7821
2	12:29:35	0	0.5000	32.863762855529785	19.63456153869629		0.7898
3	12:29:54	0	0.5000	27.059978753328323	18.9294376373291		0.804
4	12:30:12	1	0.5000	25.508542776107788	23.818693161010742		0.6892
5	12:30:27	2	0.5000	23.729712575674057	20.273365020751953		0.7485
6	12:30:41	0	0.5000	23.255324870347977	15.462815284729004		0.804
7	12:30:59	1	0.5000	22.955848842859268	16.459962844848633		0.7948
8	12:31:15	0	0.5000	21.80112248659134	15.211204528808594		0.81
9	12:31:33	0	0.5000	21.55285632610321	14.831562042236328		0.8181
10	12:31:51	1	0.5000	20.726274013519287	14.71988582611084		0.8015
11	12:32:05	0	0.5000	20.102359920740128	11.548918724060059		0.8368
12	12:32:23	1	0.5000	19.896518170833588	13.8691987991333		0.8269
13	12:32:38	2	0.5000	19.188860654830933	14.401238441467285		0.8057
14	12:32:53	0	0.5000	19.35322606563568	11.081029891967773		0.8531
15	12:33:11	1	0.5000	18.788886606693268	12.219151496887207		0.8453
16	12:33:25	0	0.5000	18.17747265100479	10.306985855102539		0.8548
17	12:33:42	0	0.5000	18.16051760315895	10.496519088745117		0.8555
18	12:33:59	0	0.5000	17.92163047194481	10.465605735778809		0.8594
19	12:34:16	1	0.5000	17.72258147597313	12.226876258850098		0.8499
20	12:34:31	2	0.5000	17.57805371284485	11.901070594787598		0.8453
21	12:34:45	3	0.5000	16.76876613497734	10.776026725769043		0.8591
22	12:35:00	0	0.5000	17.215517908334732	10.708820343017578		0.8626
23	12:35:17	0	0.5000	17.410752594470978	10.356164932250977		0.8629
24	12:35:34	1	0.5000	16.95236825942993	11.122037887573242		0.8545
25	12:35:48	0	0.5000	16.558051615953445	10.10274887084961		0.8644
26	12:36:06	1	0.5000	16.150916248559952	10.366856575012207		0.8587
27	12:36:20	0	0.5000	15.76409649848938	9.252801895141602		0.8714
28	12:36:38	1	0.5000	16.36501082777977	9.344344139099121		0.8707
29	12:36:52	2	0.5000	15.58943709731102	9.690441131591797		0.8714
30	12:37:06	3	0.5000	15.74818554520607	9.613045692443848		0.869
31	12:37:20	4	0.5000	16.047439575195312	10.44980239868164		0.8605
