EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	21:20:46	0	0.1000	23.859958633422853	16.880258560180664		0.7894
2	21:20:59	0	0.1000	17.43306047821045	14.105552673339844		0.8157
3	21:21:11	0	0.1000	15.570620223999024	12.122743606567383		0.8379
4	21:21:24	1	0.1000	14.651837116241454	12.178969383239746		0.8318
5	21:21:38	2	0.1000	13.748426067352295	10.959250450134277		0.8354
6	21:21:51	3	0.1000	13.537103275299073	10.791898727416992		0.8336
7	21:22:04	0	0.1000	13.012512187957764	9.813117027282715		0.8548
8	21:22:17	1	0.1000	12.732955535888673	10.12332820892334		0.8509
9	21:22:30	0	0.1000	12.454569770812988	9.550928115844727		0.8573
10	21:22:43	0	0.1000	12.415375637054444	9.3121919631958		0.8573
11	21:22:56	1	0.1000	12.15196696472168	9.160970687866211		0.8563
12	21:23:09	0	0.1000	11.8871869430542	9.428141593933105		0.8627
13	21:23:22	0	0.1000	11.721194229125977	8.793509483337402		0.8681
14	21:23:35	1	0.1000	11.676442394256592	8.809836387634277		0.867
15	21:23:47	0	0.1000	11.510949054718017	8.807185173034668		0.8692
