EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	14:10:01	0	0.1000	20.72719430923462	4.294957637786865		0.9716
2	14:10:47	0	0.1000	6.105633705854416	3.8339383602142334		0.972
3	14:11:29	0	0.1000	5.0817467123270035	3.048513650894165		0.9749
4	14:12:10	1	0.1000	4.646439425647259	3.7324931621551514		0.972
5	14:12:48	2	0.1000	4.607451632618904	4.0320963859558105		0.9665
6	14:13:24	0	0.1000	4.036315031349659	2.8191258907318115		0.9758
7	14:14:06	1	0.1000	3.981984257698059	3.50238037109375		0.9644
8	14:14:43	0	0.1000	3.984449476003647	2.6087565422058105		0.977
