EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	19:31:15	0	0.1000	24.57866989135742	16.953096389770508		0.7775
2	19:31:48	0	0.1000	15.209865268707276	13.798781394958496		0.8156
3	19:32:21	0	0.1000	12.695916088104248	10.716291427612305		0.8435
4	19:32:54	0	0.1000	11.41911162185669	9.396188735961914		0.8556
5	19:33:26	0	0.1000	10.593232921600341	9.240663528442383		0.8625
6	19:34:00	0	0.1000	9.939527595520019	8.540213584899902		0.868
7	19:34:33	0	0.1000	9.48588751220703	7.990284442901611		0.8834
8	19:35:06	1	0.1000	9.288260150909425	8.376917839050293		0.8688
9	19:35:40	2	0.1000	8.712021062850953	8.064788818359375		0.8765
10	19:36:13	3	0.1000	8.565101789474488	7.9481611251831055		0.8776
11	19:36:47	0	0.1000	8.407623470306396	7.5441107749938965		0.8886
12	19:37:21	1	0.1000	8.071798336029053	7.6738600730896		0.8809
13	19:37:54	2	0.1000	8.005171939849854	7.481936454772949		0.8878
14	19:38:27	3	0.1000	7.725767807006836	7.333609104156494		0.8871
15	19:39:00	4	0.1000	7.554388082504272	7.331236362457275		0.8878
